Player,Pos,Age,Team,H,HR,R,RBI,SB,AVG,BB%,K%,OPS,BABIP,wOBA,wRC+,LD%,EV,LA,Barrel%,HardHit%,Clutch,BsR,Fielding,WAR
Austin Hays,OF,28,BAL,143,16,76,67,5,0.275,0.067,0.249,0.769,0.345,0.33,112,0.1689999999999999,89.4,10.4,0.089,0.401,-0.86,-3.9,4.8,2.2
Anthony Volpe,SS,22,NYY,113,21,62,60,24,0.209,0.087,0.278,0.666,0.259,0.29,84,0.218,88.7,14.2,0.09,0.427,0.07,3.5,-0.7,1.9
Anthony Santander,OF,29,BAL,152,28,81,95,5,0.257,0.084,0.2319999999999999,0.797,0.299,0.34,119,0.153,90.6,20.2,0.102,0.461,1.75,0.1,-1.3,2.6
Andrew Vaughn,1B,25,CHW,146,21,67,80,0,0.258,0.059,0.21,0.743,0.299,0.321,103,0.196,90.6,11.2,0.084,0.465,-0.13,-6.1,-3.5,0.2
Andrew Benintendi,OF,29,CHW,147,5,72,45,13,0.262,0.084,0.143,0.682,0.301,0.299,87,0.262,86.6,14.5,0.029,0.268,1.59,2.3,-7.8,0
Andres Gimenez,2B,25,CLE,140,15,76,62,30,0.251,0.052,0.182,0.712,0.289,0.309,97,0.174,84.8,13.1,0.055,0.27,-0.35,2.6,12.7,3.6
Amed Rosario,SS,28,LAD,134,6,70,58,15,0.263,0.053,0.182,0.683,0.314,0.297,88,0.208,88.3,7.6,0.034,0.3939999999999999,-0.14,-2,-10.9,0.2
Amed Rosario,SS,28,LAD,134,6,70,58,15,0.263,0.053,0.182,0.683,0.314,0.297,88,0.208,88.3,7.6,0.034,0.3939999999999999,-0.14,-2,-10.9,0.2
Alex Verdugo,OF,27,BOS,144,13,81,54,5,0.264,0.075,0.154,0.745,0.294,0.322,98,0.21,89.2,8.8,0.05,0.376,-0.24,-2,9.5,2
Alex Bregman,3B,29,HOU,163,25,103,98,3,0.262,0.127,0.12,0.804,0.27,0.351,125,0.186,88.6,17.6,0.054,0.382,0.55,-5.1,-0.2,4.3
Alec Bohm,3B,27,PHI,153,20,74,97,4,0.274,0.069,0.154,0.765,0.296,0.329,105,0.238,89.4,11.1,0.057,0.417,-0.45,-7.2,-2.9,1.1
Adolis Garcia,OF,30,TEX,136,39,108,107,9,0.245,0.103,0.2769999999999999,0.836,0.28,0.354,124,0.163,92.1,15.7,0.161,0.497,-0.65,3.5,11.5,4.8
Adley Rutschman,C,25,BAL,163,20,84,80,1,0.277,0.134,0.147,0.809,0.303,0.352,127,0.2319999999999999,88.4,12.6,0.075,0.384,0.66,-3,5.1,5.1
